time,kape_cpu,kape_mem,7za_cpu,7za_mem,azcopy_cpu,azcopy_mem,bandwidth
1701292214.46486,0,0,0,0,0,0,0
1701292222.3092,0,0,0,0,0,0,0
1701292223.92073,0,0,0,0,0,0,0
1701292225.53671,0,0,0,0,0,0,0
1701292227.17243,0,0,0,0,0,0,0
1701292228.77931,0,0,0,0,0,0,0
1701292234.29473,2,1,0,0,0,0,0
1701292238.83199,8,1,0,0,0,0,0
1701292243.3983,10,1,0,0,0,0,0
1701292247.96687,2,1,0,0,0,0,0
1701292252.89918,3,1,0,0,0,0,0
1701292257.91008,4,1,0,0,0,0,0
1701292262.88494,4,1,0,0,0,0,0
1701292267.87279,4,1,0,0,0,0,0
1701292272.84138,4,1,0,0,0,0,0
1701292277.79194,5,1,0,0,0,0,0
1701292282.81919,4,1,0,0,0,0,0
1701292287.79776,4,1,0,0,0,0,0
1701292292.79481,5,1,0,0,0,0,0
1701292297.75056,2,1,0,0,0,0,0
1701292302.72777,4,1,0,0,0,0,0
1701292307.71598,3,1,0,0,0,0,0
1701292312.66606,5,1,0,0,0,0,0
1701292317.64073,3,1,0,0,0,0,0
1701292322.60754,0,1,0,0,0,0,0
1701292327.20329,0,1,0,0,0,0,0
1701292331.71997,0,1,0,0,0,0,0
1701292336.2278,0,1,0,0,0,0,0
1701292341.61481,0,0,54,0,0,0,0
1701292345.6545,0,0,62,0,0,0,0
1701292349.66111,0,0,66,1,0,0,0
1701292353.29466,0,0,62,1,0,0,0
1701292356.94633,0,0,67,1,0,0,0
1701292360.51077,0,0,74,1,0,0,0
1701292363.77134,0,0,77,1,0,0,0
1701292367.04224,0,0,79,1,0,0,0
1701292370.25867,0,0,8,1,0,0,0
1701292373.19769,0,0,28,1,0,0,0
1701292376.14739,0,0,29,1,0,0,0
1701292379.04534,0,0,29,1,0,0,0
1701292381.67923,0,0,31,1,0,0,0
1701292384.33127,0,0,33,1,0,0,0
1701292386.96043,0,0,31,1,0,0,0
1701292389.35563,0,0,34,1,0,0,0
1701292391.72522,0,0,35,1,0,0,0
1701292394.08555,0,0,35,1,0,0,0
1701292396.23383,0,0,38,1,0,0,0
1701292398.38274,0,0,37,1,0,0,0
1701292400.52104,0,0,40,1,0,0,0
1701292402.44575,0,0,41,1,0,0,0
1701292404.38877,0,0,41,1,0,0,0
1701292406.31993,0,0,42,1,0,0,0
1701292408.05702,0,0,49,1,0,0,0
1701292409.7906,0,0,48,1,0,0,0
1701292411.52043,0,0,46,1,0,0,0
1701292413.18951,0,0,50,1,0,0,0
1701292414.85281,0,0,52,1,0,0,0
1701292416.52344,0,0,52,1,0,0,0
1701292418.18206,0,0,47,1,0,0,0
1701292419.83533,0,0,50,1,0,0,0
1701292421.49631,0,0,49,1,0,0,0
1701292423.15107,0,0,50,1,0,0,0
1701292424.80457,0,0,49,1,0,0,0
1701292426.46565,0,0,51,1,0,0,0
1701292428.1348,0,0,51,1,0,0,0
1701292429.78809,0,0,48,1,0,0,0
1701292431.45739,0,0,52,1,0,0,0
1701292433.11494,0,0,48,1,0,0,0
1701292434.77724,0,0,45,1,0,0,0
1701292436.43999,0,0,50,1,0,0,0
1701292438.08495,0,0,51,1,0,0,0
1701292439.7528,0,0,50,1,0,0,0
1701292441.41423,0,0,46,1,0,0,0
1701292443.22704,0,0,45,1,0,0,0
1701292445.05573,0,0,46,1,0,0,0
1701292446.89841,0,0,44,1,0,0,0
1701292448.89973,0,0,40,1,0,0,0
1701292450.91241,0,0,40,1,0,0,0
1701292452.92994,0,0,42,1,0,0,0
1701292455.13134,0,0,36,1,0,0,0
1701292457.33227,0,0,35,1,0,0,0
1701292459.54509,0,0,38,1,0,0,0
1701292461.97366,0,0,33,1,0,0,0
1701292464.39362,0,0,34,1,0,0,0
1701292466.84954,0,0,35,1,0,0,0
1701292469.5067,0,0,33,1,0,0,0
1701292472.18865,0,0,31,1,0,0,0
1701292474.86265,0,0,32,1,0,0,0
1701292477.80927,0,0,28,1,0,0,0
1701292480.76512,0,0,27,1,0,0,0
1701292483.70426,0,0,28,1,0,0,0
1701292486.88889,0,0,24,1,0,0,0
1701292490.11891,0,0,26,1,0,0,0
1701292493.3378,0,0,25,1,0,0,0
1701292496.8601,0,0,24,1,0,0,0
1701292500.41607,0,0,21,1,0,0,0
1701292503.9785,0,0,22,1,0,0,0
1701292507.85869,0,0,22,1,0,0,0
1701292511.7553,0,0,21,1,0,0,0
1701292515.65705,0,0,21,1,0,0,0
1701292519.89107,0,0,19,1,0,0,0
1701292524.21308,0,0,19,1,0,0,0
1701292528.53956,0,0,18,1,0,0,0
1701292533.20623,0,0,17,1,0,0,0
1701292537.92504,0,0,18,1,0,0,0
1701292542.66717,0,0,18,1,0,0,0
1701292547.57347,0,0,17,1,0,0,0
1701292552.54716,0,0,16,1,0,0,0
1701292557.51318,0,0,15,1,0,0,0
1701292562.49631,0,0,16,1,0,0,0
1701292567.50136,0,0,17,1,0,0,0
1701292572.51818,0,0,17,1,0,0,0
1701292577.52553,0,0,16,1,0,0,0
1701292582.50688,0,0,16,1,0,0,0
1701292587.48981,0,0,16,1,0,0,0
1701292592.45374,0,0,17,1,0,0,0
1701292597.46418,0,0,17,1,0,0,0
1701292602.46169,0,0,17,1,0,0,0
1701292607.05699,0,0,18,1,0,0,0
1701292611.565,0,0,18,1,0,0,0
1701292616.06443,0,0,18,1,0,0,0
1701292620.18077,0,0,19,1,0,0,0
1701292624.21547,0,0,19,1,0,0,0
1701292628.25226,0,0,21,1,0,0,0
1701292632.61322,0,0,19,1,0,0,0
1701292637.0413,0,0,19,1,0,0,0
1701292641.47464,0,0,19,1,0,0,0
1701292646.24459,0,0,16,1,0,0,0
1701292651.10147,0,0,16,1,0,0,0
1701292656.01099,0,0,16,1,0,0,0
1701292660.95541,0,0,16,1,0,0,0
1701292665.95713,0,0,15,1,0,0,0
1701292670.97908,0,0,16,1,0,0,0
1701292675.95604,0,0,17,1,0,0,0
1701292680.94821,0,0,17,1,0,0,0
1701292685.9628,0,0,16,1,0,0,0
1701292690.94267,0,0,17,1,0,0,0
1701292695.92269,0,0,16,1,0,0,0
1701292700.92617,0,0,16,1,0,0,0
1701292705.92077,0,0,15,1,0,0,0
1701292710.90373,0,0,17,1,0,0,0
1701292715.88681,0,0,17,1,0,0,0
1701292720.51037,0,0,20,1,0,0,0
1701292724.99251,0,0,18,1,0,0,0
1701292729.48603,0,0,17,1,0,0,0
1701292733.66866,0,0,20,1,0,0,0
1701292737.68534,0,0,21,1,0,0,0
1701292741.75694,0,0,21,1,0,0,0
1701292745.5149,0,0,24,1,0,0,0
1701292749.16779,0,0,23,1,0,0,0
1701292752.78454,0,0,24,1,0,0,0
1701292756.17846,0,0,25,1,0,0,0
1701292759.45128,0,0,26,1,0,0,0
1701292762.73547,0,0,24,1,0,0,0
1701292765.79822,0,0,29,1,0,0,0
1701292768.7414,0,0,29,1,0,0,0
1701292771.68309,0,0,27,1,0,0,0
1701292774.4229,0,0,30,1,0,0,0
1701292777.06522,0,0,31,1,0,0,0
1701292779.70197,0,0,32,1,0,0,0
1701292782.17175,0,0,33,1,0,0,0
1701292784.54336,0,0,35,1,0,0,0
1701292786.92939,0,0,34,1,0,0,0
1701292789.16811,0,0,38,1,0,0,0
1701292791.3081,0,0,40,1,0,0,0
1701292793.44252,0,0,38,1,0,0,0
1701292795.46441,0,0,42,1,0,0,0
1701292797.3922,0,0,43,1,0,0,0
1701292799.34043,0,0,41,1,0,0,0
1701292801.15953,0,0,47,1,0,0,0
1701292803.96605,0,0,25,1,0,0,0
1701292807.27257,0,0,24,1,0,0,0
1701292810.39306,0,0,27,1,0,0,0
1701292813.39041,0,0,28,1,0,0,0
1701292816.38519,0,0,27,1,0,0,0
1701292819.20118,0,0,30,1,0,0,0
1701292821.89745,0,0,31,1,0,0,0
1701292824.5732,0,0,29,1,0,0,0
1701292827.40679,0,0,27,1,0,0,0
1701292830.38161,0,0,25,1,0,0,0
1701292833.3323,0,0,29,1,0,0,0
1701292836.4298,0,0,26,1,0,0,0
1701292839.68181,0,0,26,1,0,0,0
1701292842.94911,0,0,27,1,0,0,0
1701292846.38294,0,0,23,1,0,0,0
1701292849.94885,0,0,23,1,0,0,0
1701292853.55433,0,0,24,1,0,0,0
1701292857.28575,0,0,21,1,0,0,0
1701292861.2417,0,0,22,1,0,0,0
1701292865.22276,0,0,20,1,0,0,0
1701292869.3594,0,0,19,1,0,0,0
1701292873.67905,0,0,19,1,0,0,0
1701292878.02774,0,0,19,1,0,0,0
1701292882.59876,0,0,17,1,0,0,0
1701292887.36017,0,0,17,1,0,0,0
1701292892.11718,0,0,17,1,0,0,0
1701292896.64969,0,0,20,1,0,0,0
1701292900.96514,0,0,19,1,0,0,0
1701292905.26903,0,0,20,1,0,0,0
1701292909.37831,0,0,22,1,0,0,0
1701292913.23948,0,0,22,1,0,0,0
1701292917.09606,0,0,21,1,0,0,0
1701292920.79168,0,0,24,1,0,0,0
1701292924.25602,0,0,24,1,0,0,0
1701292927.74114,0,0,24,1,0,0,0
1701292931.07853,0,0,27,1,0,0,0
1701292934.20055,0,0,26,1,0,0,0
1701292937.31944,0,0,27,1,0,0,0
1701292940.30488,0,0,31,1,0,0,0
1701292943.1137,0,0,28,1,0,0,0
1701292945.92279,0,0,30,1,0,0,0
1701292948.6083,0,0,32,1,0,0,0
1701292951.13275,0,0,32,1,0,0,0
1701292953.66401,0,0,33,1,0,0,0
1701292956.12181,0,0,35,1,0,0,0
1701292958.39437,0,0,37,1,0,0,0
1701292960.67707,0,0,36,1,0,0,0
1701292962.86884,0,0,39,1,0,0,0
1701292964.92211,0,0,39,1,0,0,0
1701292966.99875,0,0,40,1,0,0,0
1701292968.96921,0,0,43,1,0,0,0
1701292970.82078,0,0,43,1,0,0,0
1701292972.68236,0,0,44,1,0,0,0
1701292974.4682,0,0,51,1,0,0,0
1701292976.12741,0,0,50,1,0,0,0
1701292977.79929,0,0,49,1,0,0,0
1701292979.45751,0,0,49,1,0,0,0
1701292981.1142,0,0,49,1,0,0,0
1701292982.78367,0,0,51,1,0,0,0
1701292984.51986,0,0,48,1,0,0,0
1701292986.33562,0,0,44,1,0,0,0
1701292988.15838,0,0,44,1,0,0,0
1701292990.05398,0,0,41,1,0,0,0
1701292992.06122,0,0,40,1,0,0,0
1701292994.06587,0,0,42,1,0,0,0
1701292996.14503,0,0,36,1,0,0,0
1701292998.35484,0,0,38,1,0,0,0
1701293000.56672,0,0,38,1,0,0,0
1701293002.85721,0,0,36,1,0,0,0
1701293005.28876,0,0,35,1,0,0,0
1701293007.72841,0,0,33,1,0,0,0
1701293010.22872,0,0,30,1,0,0,0
1701293012.90288,0,0,98,1,0,0,0
1701293015.58105,0,0,101,1,0,0,0
1701293018.33493,0,0,27,1,0,0,0
1701293019.47945,0,0,0,0,0,0,0
1701293020.62072,0,0,0,0,36,20,25
1701293023.62611,0,0,0,0,31,20,24
1701293026.65392,0,0,0,0,28,20,28
1701293029.94484,0,0,0,0,27,20,24
1701293033.20177,0,0,0,0,28,20,26
1701293036.49898,0,0,0,0,24,20,26
1701293040.07528,0,0,0,0,27,20,28
1701293043.68436,0,0,0,0,27,20,27
1701293047.32087,0,0,0,0,21,20,24
1701293051.26792,0,0,0,0,22,20,26
1701293055.21719,0,0,0,0,21,20,28
1701293059.2553,0,0,0,0,21,20,25
1701293063.60044,0,0,0,0,20,20,25
1701293067.98082,0,0,0,0,22,20,26
1701293072.41568,0,0,0,0,19,20,28
1701293077.18175,0,0,0,0,20,20,26
1701293081.95148,0,0,0,0,20,20,29
1701293086.78478,0,0,0,0,17,20,25
1701293091.80374,0,0,0,0,18,20,32
1701293096.8661,0,0,0,0,18,20,30
1701293101.90341,0,0,0,0,18,20,28
1701293106.91488,0,0,0,0,15,20,24
1701293111.94917,0,0,0,0,20,20,26
1701293116.87493,0,0,0,0,19,20,2
1701293121.36049,0,0,0,0,0,0,0
1701293124.49566,0,0,0,0,0,0,0
1701293126.25793,0,0,0,0,0,0,0
1701293127.96549,0,0,0,0,0,0,0
